AAAAUTOCLUB,"Group for drivers"
AARONBURROW,"Hiding place for a home run hitter?"
AARONBURROW,"Homer king's dugout?"
AARONCARTER,"He had four Top 40 hits by age 12"
AARONSORKIN,"""A Few Good Men"" playwright"
AARONSORKIN,"""The West Wing"" creator"
ABACHELORIS,"tart of a quip"
ABANDONMENT,"Being forsaken"
ABANDONMENT,"Desertion"
ABANDONSHEP,"1957 Tyrone Power film about a dog that's left behind?"
ABANDONSHIP,"Avoid that sinking feeling?"
ABANDONSHIP,"Final command from the bridge"
ABANDONSHIP,"Go out of the trucking business?"
ABANDONSHIP,"Shout before a hurried departure"
ABANDONSHIP,"Shout from the captain!"
ABANDONSHIP,"Source of cruise music?"
ABASERUNNER,"Blame the messenger?"
ABBANICEDAY,"Swedish band's good time?"
ABBEYROADIE,"Dude who carries monks' guitars?"
ABBIENORMAL,"Wacky woman?"
ABBREVIATED,"Short-term?"
ABCDEFGHIVE,"Start of an old song lyric"
ABDULJABBAR,"NBA great"
ABEARLEADER,"Mike Ditka, e.g.?"
ABECEDARIAN,"Rudimentary"
ABECEDARIAN,"Sorted alphabetically (like this puzzle's clues)"
ABEDOFROSES,"Sleeping with flowers?"
ABEMITCHELL,"Golfer whose likeness appears on top of the Ryder Cup"
ABERRATIONS,"They're irregular"
ABETSKRAMER,"Gives a hand to Seinfeld's neighbor?"
ABETTHEFARM,"Serve as ranch-hand?"
ABHORRENTLY,"In an awful way"
ABIDEWITHME,"Classic 1861 hymn"
ABIGTURNOFF,"""But for him, regular rock and roll was ___..."""
ABIGTURNOFF,"""But no -- to him, regular rock & roll was ___..."""
ABILLOFGODS,"Invoice for Zeus and Mars?"
ABIRDINHAND,"Something certain"
ABITTOOBOLD,"FORWARD"
ABLEMANNERS,"A good sense of etiquette?"
ABODEREKHIT,"10"
ABOUTOFFICE,"Part 2 of quote"
ABOUTPAYING,"Quotation: Part II"
ABOVEGROUND,"GROUCHY"
ABOVEPARADE,"Where cartoon character-shaped balloons fly?"
ABOVETHEGUN,"Low pressure situation?"
ABOVETHELAW,"1988 thriller with Steven Seagal"
ABOVETHELAW,"Exempt from regulations"
ABOVETHELAW,"Like many a dictator"
ABOVETHELAW,"Not accountable"
ABOVETHERIM,"1994 basketball drama"
ABRACADABRA,"""Mexican Hayride"" tune"
ABRACADABRA,"Cry before a disappearance"
ABRACADABRA,"Incantation"
ABRACADABRA,"Incantation #2"
ABRACADABRA,"Legerdemain word"
ABRACADABRA,"Magic word"
ABRACADABRA,"Magic words"
ABRACADABRA,"Magical incantation"
ABRACADABRA,"Magical phrase"
ABRACADABRA,"Magician's magic word"
ABRACADABRA,"Mystical word"
ABRACADABRA,"Steve Miller song"
ABRACADABRA,"Trick shout"
ABRACADABRA,"Word with 5 As"
ABRICKLAYER,"""I'm a doctor, not ___"" (""Devil in the Dark"")"
ABRONCSTALE,"Rodeo yarn?"
ABRUPTCHANG,"Conjoined twin being brusque?"
ABSENTEEBOT,"Automaton gone missing?"
ABSENTEEBOT,"Missing 'droid?"
ABSOLUTEERO,"-459.67°F"
ABSOLUTEZER,"*Coldest point"
ABSOLUTODKA,"Grey Goose competitor"
ABSTENTIONS,"No-votes?"
ABSTENTIONS,"Third column in Congressional tallies"
ABSTRACTART,"Friend who daydreams?"
ABSTRACTART,"It challenges the imagination"
ABSTRACTART,"Mondrian paintings, e.g."
ABSTRACTART,"Nonfigurative creation"
ABSTRACTART,"Pollock specialty"
ABSTRACTART,"Willem de Kooning's field"
ABSTRACTION,"Absent-mindedness"
ABSURDITYIS,"Part 2 of quote"
ABUSIVENESS,"Mistreatment"
ACACIATREES,"Golden wattles, e.g."
ACADEMICIAN,"Learned one"
ACADOFMUSIC,"Gigolo conductor?"
ACCELERANDO,"Gradually increasing in speed, in music"
ACCELERATES,"Increases speed"
ACCENTMARKS,"Features of some vowels"
ACCENTPRONE,"Like a dialect coach?"
ACCEPTARIDE,"Agree to hop in"
ACCESSCODES,"Security numbers"
ACCESSEDFED,"Made contact with a G-man"
ACCESSORIAL,"Supplementary"
ACCESSORIES,"They make outfits, according to the cliche"
ACCIDENTPRO,"Klutzy"
ACCOMMODATE,"Contain"
ACCOMPANIES,"Plays along with"
ACCORDMUSIC,"Honda's theme?"
ACCOUNTABLE,"Like a good math teacher?"
ACCOUNTABLE,"Like a responsible math teacher?"
ACCOUNTANTS,"Employees in Big Eight companies"
ACCOUNTSFOR,"A banker doesn't just explain a discrepancy, he ___ it"
ACCRAPHOBIA,"Ghanaian fear?"
ACCRUEACREW,"Gather sailors?"
ACEBANDAGES,"Dandy dressings?"
ACEBANDAGES,"They're good for sore ankles"
ACEHARDWARE,"Company for which John Madden was once pitchman"
ACEOFHEARTS,"Card for Casanova?"
ACEOFSPADES,"Part of some royal flushes"
ACETHEMUSIC,"Do well at one's recital?"
ACETHEMUSIC,"Play perfectly?"
ACHALKBOARD,"What gets whiter the dirtier it gets?"
ACHESAPAINS,"Basic infirmities"
ACHINGTOOTH,"End of quip"
ACHORUSLIEN,"Broadway flop about singers with financial problems?"
ACHORUSLIEN,"Movie about a claim against a singing group?"
ACHORUSLINE,"1975-90 Hamlisch/Kleban Broadway musical revived in 2006: 3 wds."
ACHORUSLINE,"Broadway musical about three guys using the same pickup routine at a bar?"
ACHORUSLINE,"Broadway musical about three guys using the same pickup routine at a singles bar?"
ACHORUSLINE,"Musical where ""Nothing"" was something"
ACHORUSLINE,"Pulitzer-winning play of 1976"
ACHORUSLINE,"Show that won the 1976 Tony for Best Musical"
ACHROMATISM,"Being without color"
ACHTUNGBABY,"""One,"" ""The Fly,"" ""Love Is Blindness"""
ACHUGOFWINE,"Big Sauvignon swig?"
ACHUGOFWINE,"What Otis took that got him kicked out of the tasting?"
ACIDTONGUED,"Sarcastic dude acting strange about nothing (4-7)"
ACIDWASHING,"What occurs on a trip to the laundromat?"
ACLOCHECALL,"What the host of the ""Hat Hotline"" has at least once a week?"
ACLOCKWORKO,"Novel that features the language Nadsat"
ACLOSESHAVE,"What the felonious barber's escape was?"
ACOLUMNOFAS,"TITLE"
ACOMICBOMBS,"Stand-up falls down?"
ACORNFLAKES,"Cereal for squirrels?"
ACORNFLAKES,"Squirrel's breakfast?"
ACORNSQUASH,"Garden gourd"
ACORNSQUASH,"Racquet recreation for squirrels?"
ACORNSQUASH,"Thanksgiving side dish"
ACORNSQUASH,"Thanksgiving vegetable"
ACOUPLEFEET,"... the podiatrists got ___"
ACRIMONIOUS,"""How's the divorce going, ___?"""
ACROPOLISES,"Fortified heights in ancient Greece"
ACTINGMAYOR,"""To govern or not to govern. That is the question."""
ACTINGMAYOR,"1986-88 Carmel title for Clint Eastwood?"
ACTINGMAYOR,"Figure in some special elections, perhaps"
ACTINUNISON,"Do the same thing"
ACTIONMOVIE,"One might have a stunt double"
ACTIVERADIO,"Busy boom box?"
ACTIVESTOCK,"Stampede?"
ACTIVEVOICE,"Singer on the go?"
ACTIVEYEAST,"Bread ingredient"
ACTONAHUNCH,"Behave intuitively"
ACTORCHANEY,"lon"
ACTORMOSTEL,"ZERO"
ACTORPACINO,"THEATRICAL"
ACTPROPERLY,"Behave"
ACTRESSDYAN,"CANNON"
ACTSONESAGE,"Behaves appropriately"
ACTSONESAGE,"Refrains from childish behavior"
ACTSONESAGE,"Stops being immature"
ACTSONESAGE,"Stops being infantile"
ACTSTHEPART,"Puts up a false front"
ACTUALMILES,"Don Henley best-of album"
ACUPRESSURE,"Shiatsu"
ACUPUNCTURE,"A jab well done"
